symbol,shares_short,shares_short_prior,short_ratio,settlement_date,float_shares,short_percent_float,short_source,shares_outstanding,short_pct_basis,short_trend,improvement_count,fundamentals_improving,sf_score,dtc_score,fi_score,st_score,squeeze_score_raw,squeeze_mult,squeeze_score,squeeze_tier,short_float_pct
ERAS,33036139,31238099,7.65,2026-09-15,NA,0.09,finra,349762000,shares outstanding,Increasing,0,FALSE,73.44,87.5,0,20,38.86,1,38.86,No Signal,9.4%
HNST,10662535,10729418,5.16,2026-09-15,NA,0.1,finra,107284000,shares outstanding,Stable,0,FALSE,74.48,70.83,0,40,38.79,1,38.79,No Signal,9.9%
ROAD,3834535,3538044,8.45,2026-09-15,NA,0.08,finra,48206400,shares outstanding,Increasing,0,FALSE,70.31,90.1,0,20,38.6,1,38.6,No Signal,8%
MEDP,1685597,1670695,8.82,2026-09-15,NA,0.06,finra,27911700,shares outstanding,Stable,0,FALSE,57.81,90.62,0,40,38.58,1,38.58,No Signal,6%
BARK,542345,519029,9.27,2026-09-15,NA,0.06,finra,9033500,shares outstanding,Stable,0,FALSE,56.25,91.67,0,40,38.4,1,38.4,No Signal,6%
CROX,4679535,4570493,4.79,2026-09-15,NA,0.1,finra,47945100,shares outstanding,Stable,0,FALSE,73.96,67.71,0,40,38.03,1,38.03,No Signal,9.8%
UTZ,9194177,7066971,5.67,2026-09-15,NA,0.1,finra,88613000,shares outstanding,Increasing,0,FALSE,76.56,78.65,0,20,37.87,1,37.87,No Signal,10.4%
PD,8430028,8028591,5.23,2026-09-15,NA,0.11,finra,78650000,shares outstanding,Increasing,0,FALSE,79.69,73.44,0,20,37.61,1,37.61,No Signal,10.7%
AMPL,6494072,7435398,3.99,2026-09-15,NA,0.06,finra,103867000,shares outstanding,Decreasing,0,FALSE,60.42,52.08,0,80,37.52,1,37.52,No Signal,6.3%
INTA,2988392,3282604,5.24,2026-09-15,NA,0.04,finra,76511000,shares outstanding,Decreasing,0,FALSE,39.58,74.48,0,80,36.79,1,36.79,No Signal,3.9%
PLNT,7951092,7377163,5.16,2026-09-15,NA,0.11,finra,75217000,shares outstanding,Increasing,0,FALSE,77.08,70.83,0,20,36.44,1,36.44,No Signal,10.6%
ACAD,9666972,9739720,7.22,2026-09-15,NA,0.06,finra,172306000,shares outstanding,Stable,0,FALSE,53.65,84.9,0,40,36.39,1,36.39,No Signal,5.6%
