symbol,date,close
MSFT,2025-05-28,457.36
NVDA,2025-05-28,134.81
PANW,2025-05-28,187.8
SPY,2025-05-28,587.73
TSLA,2025-05-28,356.9
UNH,2025-05-28,298.11
WMT,2025-05-28,97.24
XOM,2025-05-28,102.11
AAPL,2025-05-29,199.95
AMD,2025-05-29,113.03
AMZN,2025-05-29,205.7
CRM,2025-05-29,266.92
CRWD,2025-05-29,114.7025
DUOL,2025-05-29,513.39
GOOGL,2025-05-29,171.86
JPM,2025-05-29,264.37
META,2025-05-29,645.05
MSFT,2025-05-29,458.68
NVDA,2025-05-29,139.19
PANW,2025-05-29,185.82
SPY,2025-05-29,590.05
TSLA,2025-05-29,358.43
UNH,2025-05-29,298.17
WMT,2025-05-29,97.1
XOM,2025-05-29,102.69
AAPL,2025-05-30,200.85
AMD,2025-05-30,110.73
AMZN,2025-05-30,205.01
CRM,2025-05-30,265.37
CRWD,2025-05-30,117.8425
DUOL,2025-05-30,519.61
GOOGL,2025-05-30,171.74
JPM,2025-05-30,264
META,2025-05-30,647.49
MSFT,2025-05-30,460.36
NVDA,2025-05-30,135.13
PANW,2025-05-30,192.42
SPY,2025-05-30,589.39
TSLA,2025-05-30,346.46
UNH,2025-05-30,301.91
WMT,2025-05-30,98.72
XOM,2025-05-30,102.3
AAPL,2025-06-02,201.7
AMD,2025-06-02,114.63
AMZN,2025-06-02,206.65
CRM,2025-06-02,261.62
CRWD,2025-06-02,119.7925
DUOL,2025-06-02,526.85
GOOGL,2025-06-02,169.03
JPM,2025-06-02,264.66
META,2025-06-02,670.9
MSFT,2025-06-02,461.97
NVDA,2025-06-02,137.38
PANW,2025-06-02,194.86
SPY,2025-06-02,592.71
TSLA,2025-06-02,342.69
UNH,2025-06-02,304.72
WMT,2025-06-02,99.77
XOM,2025-06-02,103.05
AAPL,2025-06-03,203.27
AMD,2025-06-03,117.31
AMZN,2025-06-03,205.71
CRM,2025-06-03,264.47
CRWD,2025-06-03,122.19
DUOL,2025-06-03,513.37
GOOGL,2025-06-03,166.18
JPM,2025-06-03,266.27
META,2025-06-03,666.85
MSFT,2025-06-03,462.97
NVDA,2025-06-03,141.22
PANW,2025-06-03,197.12
SPY,2025-06-03,596.09
TSLA,2025-06-03,344.27
UNH,2025-06-03,301.22
WMT,2025-06-03,99.98
XOM,2025-06-03,103.8
AAPL,2025-06-04,202.82
AMD,2025-06-04,118.58
AMZN,2025-06-04,207.23
CRM,2025-06-04,263.17
CRWD,2025-06-04,115.14
DUOL,2025-06-04,518.79
GOOGL,2025-06-04,168.05
JPM,2025-06-04,264.22
META,2025-06-04,687.95
MSFT,2025-06-04,463.87
NVDA,2025-06-04,141.92
PANW,2025-06-04,194.07
SPY,2025-06-04,595.93
TSLA,2025-06-04,332.05
UNH,2025-06-04,300.38
WMT,2025-06-04,99.35
